Edgecode;Motif
111212;M001
111213;M003
111214;M005
111221;L001
111222;I001
111223;I003
111224;I009
111231;L002
111232;I005
111233;I007
111234;I010
111241;L004
111242;I011
111243;I012
111244;I013
111312;M002
111313;M004
111314;M006
111321;L002
111322;I002
111323;I004
111324;I014
111331;L003
111332;I006
111333;I008
111334;I015
111341;L005
111342;I016
111343;I017
111344;I018
111412;M007
111413;M008
111414;M009
111421;L004
111422;I019
111423;I020
111424;I021
111431;L005
111432;I022
111433;I023
111434;I024
111441;L006
111442;I025
111443;I026
111444;I027
112112;K001
112113;K002
112114;K004
112121;M001
112122;J001
112123;J003
112124;J009
112131;M002
112132;J005
112133;J007
112134;J010
112141;M007
112142;J011
112143;J012
112144;J013
112212;J001
112213;J002
112214;J014
112221;I001
112222;H001
112223;H004
112224;H011
112231;I002
112232;H005
112233;H002
112234;H012
112241;I019
112242;H013
112243;H014
112244;H015
112312;J005
112313;J006
112314;J015
112321;I005
112322;H005
112323;H010
112324;H016
112331;I006
112332;H008
112333;H006
112334;H017
112341;I022
112342;H018
112343;H019
112344;H020
112412;J011
112413;J016
112414;J017
112421;I011
112422;H013
112423;H021
112424;H022
112431;I016
112432;H018
112433;H023
112434;H024
112441;I025
112442;H025
112443;H026
112444;H027
113112;K002
113113;K003
113114;K005
113121;M003
113122;J002
113123;J004
113124;J018
113131;M004
113132;J006
113133;J008
113134;J019
113141;M008
113142;J016
113143;J020
113144;J021
113212;J003
113213;J004
113214;J022
113221;I003
113222;H004
113223;H009
113224;H028
113231;I004
113232;H010
113233;H007
113234;H029
113241;I020
113242;H021
113243;H030
113244;H031
113312;J007
113313;J008
113314;J023
113321;I007
113322;H002
113323;H007
113324;H032
113331;I008
113332;H006
113333;H003
113334;H033
113341;I023
113342;H023
113343;H034
113344;H035
113412;J012
113413;J020
113414;J024
113421;I012
113422;H014
113423;H030
113424;H036
113431;I017
113432;H019
113433;H034
113434;H037
113441;I026
113442;H026
113443;H038
113444;H039
114112;K004
114113;K005
114114;K006
114121;M005
114122;J014
114123;J022
114124;J025
114131;M006
114132;J015
114133;J023
114134;J026
114141;M009
114142;J017
114143;J024
114144;J027
114212;J009
114213;J018
114214;J025
114221;I009
114222;H011
114223;H028
114224;H040
114231;I014
114232;H016
114233;H032
114234;H041
114241;I021
114242;H022
114243;H036
114244;H042
114312;J010
114313;J019
114314;J026
114321;I010
114322;H012
114323;H029
114324;H041
114331;I015
114332;H017
114333;H033
114334;H043
114341;I024
114342;H024
114343;H037
114344;H044
114412;J013
114413;J021
114414;J027
114421;I013
114422;H015
114423;H031
114424;H042
114431;I018
114432;H020
114433;H035
114434;H044
114441;I027
114442;H027
114443;H039
114444;H045
121112;M001
121113;M002
121114;M007
121121;K001
121122;J001
121123;J005
121124;J011
121131;K002
121132;J003
121133;J007
121134;J012
121141;K004
121142;J009
121143;J010
121144;J013
121211;M001
121212;D001
121213;D002
121214;D005
121221;F001
121222;C001
121223;C009
121224;C017
121231;F003
121232;C005
121233;C013
121234;C018
121241;F009
121242;C019
121243;C020
121244;C021
121311;M003
121312;D002
121313;D003
121314;D006
121321;F002
121322;C003
121323;C011
121324;C022
121331;F004
121332;C007
121333;C015
121334;C023
121341;F010
121342;C024
121343;C025
121344;C026
121411;M005
121412;D005
121413;D007
121414;D008
121421;F011
121422;C027
121423;C028
121424;C029
121431;F012
121432;C030
121433;C031
121434;C032
121441;F013
121442;C033
121443;C034
121444;C035
122111;L001
122112;F001
122113;F005
122114;F014
122121;F001
122122;E001
122123;E007
122124;E011
122131;F005
122132;E007
122133;E004
122134;E012
122141;F014
122142;E011
122143;E012
122144;E013
122211;I001
122212;C001
122213;C002
122214;C036
122221;G001
122222;B001
122223;B014
122224;B033
122231;G002
122232;B010
122233;B012
122234;B034
122241;G011
122242;B035
122243;B036
122244;B037
122311;I003
122312;C009
122313;C010
122314;C037
122321;G007
122322;B005
122323;B016
122324;B038
122331;G008
122332;B008
122333;B006
122334;B039
122341;G012
122342;B040
122343;B041
122344;B042
122411;I009
122412;C017
122413;C038
122414;C039
122421;G013
122422;B043
122423;B044
122424;B045
122431;G014
122432;B046
122433;B047
122434;B048
122441;G015
122442;B049
122443;B050
122444;B051
123111;L002
123112;F003
123113;F007
123114;F015
123121;F002
123122;E002
123123;E009
123124;E014
123131;F006
123132;E008
123133;E005
123134;E015
123141;F016
123142;E016
123143;E017
123144;E018
123211;I005
123212;C005
123213;C006
123214;C040
123221;G007
123222;B004
123223;B013
123224;B052
123231;G009
123232;B009
123233;B007
123234;B053
123241;G016
123242;B054
123243;B055
123244;B056
123311;I007
123312;C013
123313;C014
123314;C041
123321;G004
123322;B002
123323;B015
123324;B057
123331;G005
123332;B011
123333;B003
123334;B058
123341;G017
123342;B059
123343;B060
123344;B061
123411;I010
123412;C018
123413;C042
123414;C043
123421;G018
123422;B062
123423;B063
123424;B064
123431;G019
123432;B065
123433;B066
123434;B067
123441;G020
123442;B068
123443;B069
123444;B070
124111;L004
124112;F009
124113;F017
124114;F018
124121;F011
124122;E019
124123;E020
124124;E021
124131;F019
124132;E022
124133;E023
124134;E024
124141;F020
124142;E025
124143;E026
124144;E027
124211;I011
124212;C019
124213;C044
124214;C045
124221;G013
124222;B071
124223;B072
124224;B073
124231;G021
124232;B074
124233;B075
124234;B076
124241;G022
124242;B077
124243;B078
124244;B079
124311;I012
124312;C020
124313;C046
124314;C047
124321;G018
124322;B080
124323;B081
124324;B082
124331;G023
124332;B083
124333;B084
124334;B085
124341;G024
124342;B086
124343;B087
124344;B088
124411;I013
124412;C021
124413;C048
124414;C049
124421;G025
124422;B089
124423;B090
124424;B091
124431;G026
124432;B092
124433;B093
124434;B094
124441;G027
124442;B095
124443;B096
124444;B097
131112;M003
131113;M004
131114;M008
131121;K002
131122;J002
131123;J006
131124;J016
131131;K003
131132;J004
131133;J008
131134;J020
131141;K005
131142;J018
131143;J019
131144;J021
131211;M002
131212;D002
131213;D003
131214;D007
131221;F005
131222;C002
131223;C010
131224;C038
131231;F007
131232;C006
131233;C014
131234;C042
131241;F017
131242;C044
131243;C046
131244;C048
131311;M004
131312;D003
131313;D004
131314;D009
131321;F006
131322;C004
131323;C008
131324;C050
131331;F008
131332;C012
131333;C016
131334;C051
131341;F021
131342;C052
131343;C053
131344;C054
131411;M006
131412;D006
131413;D009
131414;D010
131421;F019
131422;C055
131423;C056
131424;C057
131431;F022
131432;C058
131433;C059
131434;C060
131441;F023
131442;C061
131443;C062
131444;C063
132111;L002
132112;F002
132113;F006
132114;F016
132121;F003
132122;E002
132123;E008
132124;E016
132131;F007
132132;E009
132133;E005
132134;E017
132141;F015
132142;E014
132143;E015
132144;E018
132211;I002
132212;C003
132213;C004
132214;C064
132221;G002
132222;B017
132223;B030
132224;B098
132231;G003
132232;B026
132233;B028
132234;B099
132241;G028
132242;B100
132243;B101
132244;B102
132311;I004
132312;C011
132313;C008
132314;C065
132321;G009
132322;B021
132323;B032
132324;B103
132331;G010
132332;B024
132333;B022
132334;B104
132341;G029
132342;B105
132343;B106
132344;B107
132411;I014
132412;C022
132413;C050
132414;C066
132421;G021
132422;B108
132423;B109
132424;B110
132431;G030
132432;B111
132433;B112
132434;B113
132441;G031
132442;B114
132443;B115
132444;B116
133111;L003
133112;F004
133113;F008
133114;F024
133121;F004
133122;E003
133123;E010
133124;E028
133131;F008
133132;E010
133133;E006
133134;E029
133141;F024
133142;E028
133143;E029
133144;E030
133211;I006
133212;C007
133213;C012
133214;C067
133221;G008
133222;B020
133223;B029
133224;B117
133231;G010
133232;B025
133233;B023
133234;B118
133241;G032
133242;B119
133243;B120
133244;B121
133311;I008
133312;C015
133313;C016
133314;C068
133321;G005
133322;B018
133323;B031
133324;B122
133331;G006
133332;B027
133333;B019
133334;B123
133341;G033
133342;B124
133343;B125
133344;B126
133411;I015
133412;C023
133413;C051
133414;C069
133421;G023
133422;B127
133423;B128
133424;B129
133431;G034
133432;B130
133433;B131
133434;B132
133441;G035
133442;B133
133443;B134
133444;B135
134111;L005
134112;F010
134113;F021
134114;F025
134121;F012
134122;E031
134123;E032
134124;E033
134131;F022
134132;E034
134133;E035
134134;E036
134141;F026
134142;E037
134143;E038
134144;E039
134211;I016
134212;C024
134213;C052
134214;C070
134221;G014
134222;B136
134223;B137
134224;B138
134231;G030
134232;B139
134233;B140
134234;B141
134241;G036
134242;B142
134243;B143
134244;B144
