Code;Sign
101101;4
101107;4
101111;4
101113;2
101114;2
101154;2
101155;2
101156;2
101157;2
101158;2
101159;2
101160;2
101168;2
101280;4
101292;2
101293;2
101294;4
101300;2
101302;4
101348;2
101351;2
101355;4
102113;2
102114;2
102145;4
102155;2
102156;2
102157;2
102158;2
102159;2
102160;2
102167;2
102284;4
102296;2
102301;2
102303;4
102307;4
102347;2
102356;4
102358;2
103101;4
103104;4
103124;4
103154;4
103155;4
103158;4
103160;4
103165;4
103171;4
103181;4
103185;4
103214;4
103228;4
103234;4
103252;4
103288;4
103295;4
103297;4
103298;4
103299;4
103306;4
103307;4
103310;4
103316;4
103320;4
103322;4
103323;4
103325;4
103334;4
103340;4
103342;4
103343;4
103353;4
103373;4
104102;4
104103;4
104127;4
104147;4
104154;4
104155;4
104159;4
104161;4
104168;4
104186;4
104188;4
104214;4
104215;4
104229;4
104235;4
104253;4
104289;4
104297;4
104298;4
104310;4
104311;4
104321;4
104348;4
104354;4
104356;4
105101;4
105107;4
105109;4
105111;4
105113;3
105114;3
105121;3
105152;4
105175;4
105178;4
105288;3
105290;2
105297;4
105298;4
105304;4
105306;3
105341;3
105343;3
105347;4
105355;3
106102;4
106106;4
106110;4
106120;2
106122;3
106145;4
106153;4
106165;4
106174;4
106176;4
106178;4
106179;4
106257;4
106281;4
106289;3
106298;4
106299;3
106304;4
106342;3
106344;3
106356;3
106360;4
107101;4
107111;4
107113;2
107123;4
107140;4
107141;4
107142;4
107144;4
107154;2
107155;2
107156;2
107158;2
107159;2
107167;2
107168;2
107173;4
107175;4
107177;4
107256;4
107288;2
107297;2
107302;4
107304;2
107343;4
108102;4
108108;4
108112;4
108114;2
108141;4
108145;4
108155;2
108156;2
108157;2
108158;2
108159;2
108167;2
108168;2
108178;4
108188;4
108253;4
108257;4
108273;2
108292;2
108293;2
108296;2
108303;4
108339;2
108344;4
108354;2
108356;4
109109;4
109113;2
109118;4
109119;3
109140;4
109141;4
109175;4
110109;4
110120;3
110140;4
110141;4
111101;4
111105;4
111107;4
111113;3
111115;4
111121;3
111140;4
111141;4
111142;4
111144;4
111148;4
111150;4
111177;4
111178;4
111282;2
111295;4
111304;4
111320;4
112102;4
112108;4
112114;3
112122;3
112141;4
112143;4
112147;4
112174;4
112177;4
112178;4
112296;4
113113;2
113122;4
113144;4
113145;4
113154;2
113156;2
113160;2
113214;2
113233;4
113291;2
113295;2
113298;2
113300;2
113301;2
113319;2
113324;2
113325;2
113326;2
113334;4
113336;4
113338;2
113346;2
113348;2
114108;4
114112;4
114120;3
114128;4
114152;2
114155;2
114157;2
114160;2
114178;4
114211;2
114288;2
114290;2
114293;2
114297;2
114300;2
114301;2
114318;2
114324;2
114325;2
114327;2
114333;4
114340;2
114345;2
114347;2
114373;2
115111;4
115124;2
115142;4
115148;4
115150;4
115158;2
115162;4
115163;4
115165;2
115166;2
115167;2
115185;4
115282;2
115294;2
115295;2
115320;2
115343;3
115355;3
116106;4
116112;4
116116;4
116123;2
116143;4
116149;4
116151;4
116155;2
116159;2
116162;4
116163;4
116166;2
116168;2
116182;2
116188;4
116216;2
116217;2
116255;4
116279;2
116296;2
116311;2
116321;2
116356;3
117110;4
117112;4
117140;4
117143;4
117146;4
117153;4
117179;4
117188;4
117290;2
117291;2
117294;2
117312;3
117318;3
117326;3
118109;4
118110;4
118111;4
118113;3
118117;4
118118;4
118140;4
118141;4
118142;4
118152;4
118153;4
118177;4
118180;4
118185;4
118290;2
118294;2
118355;3
118356;3
119109;4
119113;3
119121;3
119141;4
119173;4
119177;4
119178;4
119217;2
119288;3
119290;2
119299;3
119304;4
120106;4
120110;4
120117;4
120119;2
120122;3
120140;4
120141;4
120143;4
120174;4
120176;4
120180;4
120289;3
120291;2
120307;3
121105;4
121109;4
121111;4
121113;2
121114;2
121140;4
121160;2
121161;2
121170;2
121178;4
121211;2
121288;2
121293;2
121297;2
121300;2
121341;4
121343;4
121347;2
121357;2
121374;2
122106;4
122112;4
122113;2
122114;2
122141;4
122160;2
122161;2
122174;4
122178;4
122211;2
122289;2
122301;2
122334;4
122342;4
122344;4
122346;2
123149;4
123155;3
123159;2
123160;3
123161;3
123289;4
123311;3
124115;4
124124;4
124159;2
124160;2
124181;2
124185;4
124187;4
124273;2
124274;2
124292;2
124293;2
124295;2
124309;2
124320;2
124331;4
124342;4
125182;2
125186;4
125188;4
125274;2
125308;2
125333;4
125345;2
125354;2
126288;3
126309;3
126320;4
126322;4
126326;3
126334;4
126342;3
126347;4
127104;2
127154;2
127233;4
127300;2
127327;3
127341;3
127346;4
127347;4
128154;2
128155;2
128156;2
128157;2
128158;2
128159;2
128167;2
128179;4
128180;4
128211;2
128273;2
128274;2
128280;4
128281;4
128288;2
128289;2
128297;2
128304;2
128355;4
129129;2
129189;2
129198;2
129205;2
129390;2
130198;2
130205;2
130294;2
130391;2
131191;2
131392;2
132191;2
132199;2
132205;2
132206;2
132393;2
133133;2
133394;2
134193;2
134201;2
134395;2
135396;2
136397;2
137398;2
138399;2
138400;2
139210;2
139401;2
139402;2
140106;4
140110;4
140111;4
140113;2
140114;2
140119;3
140120;3
140121;4
140141;4
140148;4
140175;4
140177;4
140178;4
140235;4
140253;4
140289;2
140304;2
141107;4
141108;4
141109;4
141110;4
141111;4
141112;4
141113;2
141114;2
141119;3
141120;3
141121;4
141140;4
141145;4
141150;4
141174;4
141177;4
141178;4
142111;4
142113;2
142118;4
142150;4
143112;4
143114;2
143120;3
143141;4
143296;2
144101;4
144105;4
144107;4
144111;4
144113;2
144121;4
144150;4
144154;2
144155;2
144156;2
144158;2
144159;2
144162;4
144166;2
144216;2
144288;2
144300;2
144302;4
144304;2
144355;4
145102;4
145106;4
145108;4
145112;4
145114;2
145145;4
145155;2
145157;2
145158;2
145159;2
145161;2
145165;2
145174;4
145175;4
145216;2
145217;2
145273;2
145281;4
145289;2
145321;2
145344;4
146105;4
146111;4
146113;4
146119;4
146120;4
146121;4
146141;4
146142;4
146150;4
146174;4
146177;4
146178;4
146188;4
146288;4
146290;4
146318;4
146326;4
147108;4
147111;4
147112;4
147114;4
147140;4
147141;4
147143;4
147145;4
147174;4
147177;4
147178;4
147188;4
148123;2
148149;4
148150;4
148151;4
148185;4
148216;2
148217;2
148282;2
149151;4
149217;2
149283;2
150111;4
150113;2
150115;4
150141;4
150148;4
151108;4
151111;4
151112;4
151114;2
151116;4
151123;4
151141;4
151143;4
151174;4
151188;4
151216;2
151296;2
152105;4
152114;2
152119;3
152121;4
152154;2
152159;2
152160;2
152180;4
152211;2
152288;2
152290;2
152355;4
153117;4
153118;4
153120;3
153122;4
153155;2
153161;2
153179;4
153289;2
153291;2
153356;4
154130;2
154132;2
154133;2
154135;2
154136;2
154137;2
154138;2
154139;2
154155;2
154156;3
154158;2
154159;2
154160;3
154161;3
154189;2
154190;2
154191;2
154192;2
154193;2
154195;2
154196;2
154197;2
154204;2
154238;3
154239;3
154273;3
154274;3
154278;2
154288;3
154329;3
154361;3
154362;3
154363;3
154364;3
154365;3
154366;3
154367;3
154368;3
154369;3
154370;3
154371;3
154372;3
155129;2
155130;2
155132;2
155133;2
155134;2
155135;2
155136;2
155137;2
155139;2
155154;2
155156;3
155157;3
155158;2
155159;2
155161;3
155189;2
155190;2
155191;2
155192;2
